,Name,SMILES
247,"['1,8-Bis(dimethylamino)naphthalene']",CN(C)C1=CC=CC2=C1C(=CC=C2)N(C)C
248,['3-Methylpyridine'],CC1=CN=CC=C1
249,"['2,6-Lutidine']",CC1=NC(=CC=C1)C
250,['Acetamidoeugenol'],CCN(CC)C(=O)COC1=C(C=C(C=C1)CC=C)OC
251,['Diazoacetic Ester'],CCOC(=O)C=[N+]=[N-]
252,"['Benzenamine, 3-Iodo-']",C1=CC(=CC(=C1)I)N
253,"['2,4,6-Trimethyl-Piperidine']",CC1CC(NC(C1)C)C
254,['4-Methylpyridine'],CC1=CC=NC=C1
255,['Anatabine'],C1C=CCN[C@@H]1C2=CN=CC=C2
256,['2-Aminomethylfuran'],C1=COC(=C1)CN
257,['Cyanodiethylmethane'],None
258,['Piperazine'],C1CNCCN1
259,"['Morpholine, 2,6-Dimethyl-']",CC1CNCC(O1)C
260,"['Piperidine, 1,2,2,6,6-Pentamethyl-']",CC1(CCCC(N1C)(C)C)C
261,['N-Hexyl Nicotinoate'],None
262,['Butamirate'],CCC(C1=CC=CC=C1)C(=O)OCCOCCN(CC)CC
263,['Cis-9-Octadecenylamine'],CCCCCCCC/C=C\CCCCCCCCN
264,['N-Aminopiperidine'],C1CCN(CC1)N
265,['2-Cyanofuran'],C1=COC(=C1)C#N
266,['2-Methylpyrrole'],CC1=CC=CN1
267,"[""N,n'-Methanetetraylbis-2-Propanamine""]",CC(C)N=C=NC(C)C
268,"['Cyclohexanamine, N-Methyl-']",CNC1CCCCC1
269,"['1,2,3-Propanetriol, 1,3-Dinitrate']",C(C(CO[N+](=O)[O-])O)O[N+](=O)[O-]
270,['N-Methyl Propionamide'],None
271,"['1-Butanol, 3-Methyl-, Nitrate']",CC(C)CCO[N+](=O)[O-]
272,['3-Methyl-n-Oxidepyridine'],None
273,['2-Azacyclooctanone'],C1CCCNC(=O)CC1
274,"['Pyridine, 5-Amino-2-Butoxy-']",CCCCOC1=NC=C(C=C1)N
275,['2-Ethylpyridine'],CCC1=CC=CC=N1
276,['Rociverine'],CCN(CC)CC(C)OC(=O)C1CCCCC1(C2CCCCC2)O
277,['Amino-Acetic Acid Ethyl Ester'],CCOC(=O)CN
278,"['2-Furanmethanamine, N-Methyl-']",CNCC1=CC=CO1
279,"['1-Hexanamine, 3-Methyl-']",CCCC(C)CCN
280,['O-Cyanophenol'],C1=CC=C(C(=C1)C#N)O
281,"['Piperazine, 1,2,4-Trimethyl-']",CC1CN(CCN1C)C
282,['Cyclobutanecarbonitrile'],C1CC(C1)C#N
283,"['1,3-Bis(1-Isocyanato-1-Methylethyl)benzene']",CC(C)(C1=CC(=CC=C1)C(C)(C)N=C=O)N=C=O
