,Name,SMILES,A,B,C,Tmin,Tmax,No.C,SMILES,Atom,Count Unique Atom,Pass Screen
105,3-(Diethylamino)-phenol,CCN(CC)C1=CC(=CC=C1)O,22.65036838,4924.096642,-108.741,431,554,10,CCN(CC)C1=CC(=CC=C1)O,"[1, 6, 7, 8]",4,TRUE
106,"1,2-Dimethoxy-4-allyl benzene",COC1=C(C=C(C=C1)CC=C)OC,24.70369864,6428.815277,-33.535,358,521,11,COC1=C(C=C(C=C1)CC=C)OC,"[1, 6, 8]",3,TRUE
107,Eugenol acetate,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,24.03164312,6526.371202,-33.501,374,555,12,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,"[1, 6, 8]",3,TRUE
108,2-Methoxy-4-methyl phenol,CC1=CC(=C(C=C1)O)OC,21.86083498,4391.65147,-70.184,356,503,8,CC1=CC(=C(C=C1)O)OC,"[1, 6, 8]",3,TRUE
109,1-Phenyl-1-propa,CCC(=O)C1=CC=CC=C1,19.85712543,3022.462994,-128.785,405,492,9,CCC(=O)C1=CC=CC=C1,"[1, 6, 8]",3,TRUE
110,Methyl benzoate,COC(=O)C1=CC=CC=C1,20.68151997,3466.023776,-93.99,333,472,8,COC(=O)C1=CC=CC=C1,"[1, 6, 8]",3,TRUE
111,Ethyl benzoate,CCOC(=O)C1=CC=CC=C1,20.43360063,3398.880395,-104.874,344,440,9,CCOC(=O)C1=CC=CC=C1,"[1, 6, 8]",3,TRUE
112,2-Ethoxyaniline,CCOC1=CC=CC=C1N,24.25690502,6006.148152,-29.807,340,501,8,CCOC1=CC=CC=C1N,"[1, 6, 7, 8]",4,TRUE
113,"Indene, (1H-indene)",C1C=CC2=CC=CC=C21,21.51558537,4027.716383,-52.375,297,457,9,C1C=CC2=CC=CC=C21,"[1, 6]",2,TRUE
114,"1,2-Dimethylbenzene",CC1=CC=CC=C1C,20.94866589,3358.794691,-60.109,313,445,8,CC1=CC=CC=C1C,"[1, 6]",2,TRUE
115,2-Methylphenol,CC1=CC=CC=C1O,21.14555994,3533.408929,-96.85,356,493,7,CC1=CC=CC=C1O,"[1, 6, 8]",3,TRUE
116,o-Toluidine,CC1=CC=CC=C1N,21.45461291,3927.342094,-77.847,391,474,7,CC1=CC=CC=C1N,"[1, 6, 7]",3,TRUE
117,"1,2,4-Trimethylbenzene",CC1=CC(=C(C=C1)C)C,21.13063919,3636.594674,-63.86,333,471,9,CC1=CC(=C(C=C1)C)C,"[1, 6]",2,TRUE
118,"3,4-Dimethylphenol",CC1=C(C=C(C=C1)O)C,21.21102244,3748.101963,-113.109,388,529,8,CC1=C(C=C(C=C1)O)C,"[1, 6, 8]",3,TRUE
119,"2,4-Dimethylaniline",CC1=CC(=C(C=C1)N)C,23.45348703,5299.89695,-40.19,326,484,8,CC1=CC(=C(C=C1)N)C,"[1, 6, 7]",3,TRUE
120,"2,4-Diaminotoluene",CC1=C(C=C(C=C1)N)N,23.46440129,5926.236937,-60.738,379,627,7,CC1=C(C=C(C=C1)N)N,"[1, 6, 7]",3,TRUE
121,"2,5-Dimethylphenol",CC1=CC(=C(C=C1)C)O,21.03294051,3599.262862,-105.697,374,513,8,CC1=CC(=C(C=C1)C)O,"[1, 6, 8]",3,TRUE
122,Diethyl oxalate,CCOC(=O)C(=O)OCC,22.09153098,3993.304249,-77.601,300,456,6,CCOC(=O)C(=O)OCC,"[1, 6, 8]",3,TRUE
123,"1,2,4,5-Tetramethylbenzene",CC1=CC(=C(C=C1C)C)C,21.14530666,3823.580702,-72.51,355,500,10,CC1=CC(=C(C=C1C)C)C,"[1, 6]",2,TRUE
124,3-Methylpentane,CCC(C)CC,20.7067563,2676.455835,-44.864,255,358,6,CCC(C)CC,"[1, 6]",2,TRUE
125,3-Penta,CCC(=O)CC,21.70665388,3410.519962,-40.14,282,399,5,CCC(=O)CC,"[1, 6, 8]",3,TRUE
126,Methyl acrylate,COC(=O)C=C,21.5015396,3096.83419,-43.027,229,353,4,COC(=O)C=C,"[1, 6, 8]",3,TRUE
127,Methyl glycolate,COC(=O)CO,23.08447475,4507.807678,-34.889,283,425,3,COC(=O)CO,"[1, 6, 8]",3,TRUE
128,Methylcyclopentane,CC1CCCC1,21.1423133,2983.091091,-34.76,255,373,6,CC1CCCC1,"[1, 6]",2,TRUE
129,Cyclopentanol,C1CCC(C1)O,21.07344298,2825.142964,-117.629,380,438,5,C1CCC(C1)O,"[1, 6, 8]",3,TRUE
130,2-Methyl tetrahydrofuran,CC1CCCO1,22.14706933,3853.270234,12.124,351,533,5,CC1CCCO1,"[1, 6, 8]",3,TRUE
131,Ethylene carbonate,C1COC(=O)O1,20.85598684,3926.522374,-102.261,368,449,3,C1COC(=O)O1,"[1, 6, 8]",3,TRUE
132,1-Methylpyrrole,CN1C=CC=C1,21.16112542,3123.933314,-61.65,322,422,5,CN1C=CC=C1,"[1, 6, 7]",3,TRUE
133,4-Ethyl-2-tert-butylphenol,CCC1=CC(=C(C=C1)O)C(C)(C)C,23.93811212,6098.129519,-30.022,394,521,12,CCC1=CC(=C(C=C1)O)C(C)(C)C,"[1, 6, 8]",3,TRUE
134,Ethyl methacrylate,CCOC(=O)C(=C)C,23.34148929,4612.147019,0,285,390,6,CCOC(=O)C(=C)C,"[1, 6, 8]",3,TRUE
135,Isobutyl isobutyrate,CC(C)COC(=O)C(C)C,22.47316143,4158.275261,-40.734,277,421,8,CC(C)COC(=O)C(C)C,"[1, 6, 8]",3,TRUE
136,Butyl methacrylate,CCCCOC(=O)C(=C)C,21.16439509,3471.418733,-76.025,338,437,8,CCCCOC(=O)C(=C)C,"[1, 6, 8]",3,TRUE
137,2-Ethyl-1-butanol,CCC(CC)CO,20.64371152,2737.059874,-119.45,329,444,6,CCC(CC)CO,"[1, 6, 8]",3,TRUE
138,Tetrahydrofurfuryl alcohol,C1CC(OC1)CO,23.52058436,5274.248455,-11.548,333,453,5,C1CC(OC1)CO,"[1, 6, 8]",3,TRUE
139,2-Hydroxymethyl-furan,C1=COC(=C1)CO,25.52436299,6037.992904,-12.034,304,443,5,C1=COC(=C1)CO,"[1, 6, 8]",3,TRUE
140,Furfuraldehyde,C1=COC(=C1)C=O,21.30655669,3518.934879,-74.932,366,435,5,C1=COC(=C1)C=O,"[1, 6, 8]",3,TRUE
141,"1,1-Dimethylethylbenzene",CC(C)(C)C1=CC=CC=C1,20.8367142,3471.377286,-69.42,332,472,10,CC(C)(C)C1=CC=CC=C1,"[1, 6]",2,TRUE
142,2-Methyl-4-tert-butylphenol,CC1=C(C=CC(=C1)C(C)(C)C)O,23.20849198,5561.113716,-43.861,347,520,11,CC1=C(C=CC(=C1)C(C)(C)C)O,"[1, 6, 8]",3,TRUE
143,4-tert-Butyltoluene,CC1=CC=C(C=C1)C(C)(C)C,21.4893359,3986.235313,-63.45,342,465,11,CC1=CC=C(C=C1)C(C)(C)C,"[1, 6]",2,TRUE
144,(1-Methylethyl)benzene,CC(C)C1=CC=CC=C1,20.86399984,3363.538016,-65.32,319,454,9,CC(C)C1=CC=CC=C1,"[1, 6]",2,TRUE
145,Isopropylbenzene,CC(C)C1=CC=CC=C1,23.33577888,5144.371142,-2.336,295,438,9,CC(C)C1=CC=CC=C1,"[1, 6]",2,TRUE
146,1-Phenylethanol,CC(C1=CC=CC=C1)O,24.4807163,6151.406733,-1.726,404,476,8,CC(C1=CC=CC=C1)O,"[1, 6, 8]",3,TRUE
147,Methyl phenyl ketone,CC(=O)C1=CC=CC=C1,22.25073171,4620.731056,-44.001,310,476,8,CC(=O)C1=CC=CC=C1,"[1, 6, 8]",3,TRUE
148,3-Methylbenzoic acid methyl ester,CC1=CC(=CC=C1)C(=O)OC,21.65558254,4236.756571,-74.05,359,417,9,CC1=CC(=CC=C1)C(=O)OC,"[1, 6, 8]",3,TRUE
149,Carvone,CC1=CCC(CC1=O)C(=C)C,23.13674343,5444.163116,-31.98,330,501,10,CC1=CCC(CC1=O)C(=C)C,"[1, 6, 8]",3,TRUE
150,"1,3-Diisopropylbenzene",CC(C)C1=CC(=CC=C1)C(C)C,22.22816638,4684.943247,-37.559,307,475,12,CC(C)C1=CC(=CC=C1)C(C)C,"[1, 6]",2,TRUE
151,4-sec-Butylphenol,CCC(C)C1=CC=C(C=C1)O,23.36651839,5631.699462,-39.674,344,515,10,CCC(C)C1=CC=C(C=C1)O,"[1, 6, 8]",3,TRUE
152,p-Menthane,CC1CCC(CC1)C(C)C,21.25269923,3864.343366,-46.665,281,445,10,CC1CCC(CC1)C(C)C,"[1, 6]",2,TRUE
153,"p-Mentha-1,5-diene",CC1=CCC(C=C1)C(C)C,22.14191154,4285.873014,-44.643,315,448,10,CC1=CCC(C=C1)C(C)C,"[1, 6]",2,TRUE
154,4-Isopropylaniline,CC(C)C1=CC=C(C=C1)N,23.2943784,5461.414084,-36.244,333,501,9,CC(C)C1=CC=C(C=C1)N,"[1, 6, 7]",3,TRUE
155,4-Isopropylphenol,CC(C)C1=CC=C(C=C1)O,21.09271562,3691.258044,-115.222,391,507,9,CC(C)C1=CC=C(C=C1)O,"[1, 6, 8]",3,TRUE
156,"N,N-Dimethyl-4-toluidine",CC1=CC=C(C=C1)N(C)C,19.97996834,3092.79085,-118.038,323,483,9,CC1=CC=C(C=C1)N(C)C,"[1, 6, 7]",3,TRUE
157,"1,4-Diisopropylbenzene",CC(C)C1=CC=C(C=C1)C(C)C,20.91152519,3771.132419,-81.533,366,484,12,CC(C)C1=CC=C(C=C1)C(C)C,"[1, 6]",2,TRUE
158,4-Vinyl-1-Cyclohexene,C=CC1CCC=CC1,20.76922544,3188.242213,-57.254,329,396,8,C=CC1CCC=CC1,"[1, 6]",2,TRUE
159,Ethylbenzene,CCC1=CC=CC=C1,20.8812462,3259.935502,-60.852,306,420,8,CCC1=CC=CC=C1,"[1, 6]",2,TRUE
160,Styrene,C=CC1=CC=CC=C1,21.48733265,3677.235301,-49.03,285,418,8,C=CC1=CC=CC=C1,"[1, 6]",2,TRUE
161,Benzonitrile,C1=CC=C(C=C1)C#N,22.68212103,4856.317747,-28.379,301,464,7,C1=CC=C(C=C1)C#N,"[1, 6, 7]",3,TRUE
162,Benzyl alcohol,C1=CC=C(C=C1)CO,21.15000393,3514.942196,-113.214,404,507,7,C1=CC=C(C=C1)CO,"[1, 6, 8]",3,TRUE
163,Benzaldehyde,C1=CC=C(C=C1)C=O,21.24291324,3747.929269,-66.153,368,478,7,C1=CC=C(C=C1)C=O,"[1, 6, 8]",3,TRUE
164,N-Methylaniline,CNC1=CC=CC=C1,22.79543124,4837.678321,-39.065,309,468,7,CNC1=CC=CC=C1,"[1, 6, 7]",3,TRUE
165,Phenyl hydrazine,C1=CC=C(C=C1)NN,23.56373481,5798.73359,-34.526,345,516,6,C1=CC=C(C=C1)NN,"[1, 6, 7]",3,TRUE
