,Name,SMILES,A,B,C,Tmin,Tmax,No.C
1658,"5-Ethyl-2,4-dimethylheptane",CCC(CC)C(C)CC(C)C,20.07640061,3130.686796,-83,449,449,11
1659,"3-Ethyl-2,5-dimethylheptane",CCC(C)CC(CC)C(C)C,20.07640061,3130.686796,-83,449,449,11
1660,"4-Ethyl-2,5-dimethylheptane",CCC(C)C(CC)CC(C)C,20.07207175,3120.555421,-83,448,448,11
1661,"5-Ethyl-2,5-dimethylheptane",CCC(C)(CC)CCC(C)C,19.95120906,3101.69725,-83,451,451,11
1662,"3-Ethyl-2,6-dimethylheptane",CCC(CCC(C)C)C(C)C,20.07640061,3130.686796,-83,449,449,11
1663,"4-Ethyl-2,6-dimethylheptane",CCC(CC(C)C)CC(C)C,20.05017416,3069.944601,-83,443,443,11
1664,"4-Ethyl-3,3-dimethylheptane",CCCC(CC)C(C)(C)CC,19.9368179,3104.805739,-84,453,453,11
1665,"5-Ethyl-3,3-dimethylheptane",CCC(CC)CC(C)(C)CC,19.93849879,3071.786669,-83,448,448,11
1666,"3-Ethyl-3,4-dimethylheptane",CCCC(C)C(C)(CC)CC,19.95770235,3154.679733,-84,458,458,11
1667,"4-Ethyl-3,4-dimethylheptane",CCCC(C)(CC)C(C)CC,19.94103163,3114.775933,-84,454,454,11
1668,"3-Ethyl-4,5-dimethylheptane",CCC(C)C(C)C(CC)CC,20.07891042,3174.366835,-84,455,455,11
1669,"3-Ethyl-3,5-dimethylheptane",CCC(C)CC(C)(CC)CC,19.9368179,3104.805739,-84,453,453,11
1670,"4-Ethyl-3,5-dimethylheptane",CCC(C)C(CC)C(C)CC,20.07465064,3164.258486,-84,454,454,11
1671,"3-Ethyl-4,4-dimethylheptane",CCCC(C)(C)C(CC)CC,19.94275857,3081.756863,-83,449,449,11
1672,"2,2,3,3-Tetramethylheptane",CCCCC(C)(C)C(C)(C)C,19.85210579,3113.923976,-79.15,453,453,11
1673,"2,2,3,4-Tetramethylheptane",CCCC(C)C(C)C(C)(C)C,20.01713207,3158.663205,-77.15,449,449,11
1674,"2,2,3,5-Tetramethylheptane",CCC(C)CC(C)C(C)(C)C,20.00925723,3138.76887,-77.15,447,447,11
1675,"2,2,3,6-Tetramethylheptane",CC(C)CCC(C)C(C)(C)C,20.02825355,3145.791754,-76.15,446,446,11
1676,"2,2,4,4-Tetramethylheptane",CCCC(C)(C)CC(C)(C)C,19.89230893,3095.503296,-76.15,446,446,11
1677,"2,2,4,5-Tetramethylheptane",CCC(C)C(C)CC(C)(C)C,20.03562182,3122.996162,-75.15,442,442,11
1678,"2,2,4,6-Tetramethylheptane",CC(C)CC(C)CC(C)(C)C,20.10260403,3123.571808,-71.15,435,435,11
1679,"2,2,5,5-Tetramethylheptane",CCC(C)(C)CCC(C)(C)C,19.93377849,3077.197744,-73.15,439,439,11
1680,"2,2,5,6-Tetramethylheptane",CC(C)C(C)CCC(C)(C)C,20.05880886,3140.035291,-74.15,442,442,11
1681,"2,3,3,4-Tetramethylheptane",CCCC(C)C(C)(C)C(C)C,19.97276125,3167.505131,-80.15,455,455,11
1682,"2,3,3,5-Tetramethylheptane",CCC(C)CC(C)(C)C(C)C,20.01713207,3158.663205,-77.15,449,449,11
1683,"2,3,3,6-Tetramethylheptane",CC(C)CCC(C)(C)C(C)C,20.01319465,3148.716037,-77.15,448,448,11
1684,"2,3,4,4-Tetramethylheptane",CCCC(C)(C)C(C)C(C)C,20.00221132,3161.587488,-78.15,451,451,11
1685,"2,3,4,5-Tetramethylheptane",CCC(C)C(C)C(C)C(C)C,20.14174797,3222.260605,-78.15,452,452,11
1686,"2,3,4,6-Tetramethylheptane",CC(C)CC(C)C(C)C(C)C,20.16820467,3206.211587,-76.15,447,447,11
1687,"2,3,5,5-Tetramethylheptane",CCC(C)(C)CC(C)C(C)C,20.04736501,3152.86069,-75.15,445,445,11
1688,"2,4,4,5-Tetramethylheptane",CCC(C)C(C)(C)CC(C)C,20.03216795,3155.761948,-76.15,447,447,11
1689,"2,4,4,6-Tetramethylheptane",CC(C)CC(C)(C)CC(C)C,20.10948875,3141.531972,-71.15,437,437,11
1690,"2,4,5,5-Tetramethylheptane",CCC(C)(C)C(C)CC(C)C,20.01713207,3158.663205,-77.15,449,449,11
1691,"3,3,4,4-Tetramethylheptane",CCCC(C)(C)C(C)(C)CC,19.82339256,3119.772542,-81.15,457,457,11
1692,"3,3,4,5-Tetramethylheptane",CCC(C)C(C)C(C)(C)CC,19.96880081,3157.557964,-80.15,454,454,11
1693,"3,3,5,5-Tetramethylheptane",CCC(C)(C)CC(C)(C)CC,19.8298398,3097.299312,-80.15,453,453,11
1694,"3,4,4,5-Tetramethylheptane",CCC(C)C(C)(C)C(C)CC,19.96221541,3180.422634,-81.15,458,458,11
1695,"2,2-Dimethyl-3-(1-methylethyl)hexane",CCC[C@@H](C(C)C)C(C)(C)C,19.86656603,3020.508099,-83,445,445,11
1696,"2,3-Dimethyl-3-(1-methylethyl)hexane",CCCC(C)(C(C)C)C(C)C,19.89019055,3112.703606,-84,456,456,11
1697,"2,4-Dimethyl-3-(1-methylethyl)hexane",CC[C@H](C)C(C(C)C)C(C)C,20.01296439,3098.980199,-83,448,448,11
1698,"2,5-Dimethyl-3-(1-methylethyl)hexane",CC(C)CC(C(C)C)C(C)C,19.99118193,3048.714767,-83,443,443,11
1699,"3,3-Diethyl-2-methylhexane",CCCC(CC)(CC)C(C)C,19.93932772,3147.818029,-85,459,459,11
1700,"3,4-Diethyl-2-methylhexane",CCC(CC)C(CC)C(C)C,20.04287497,3126.933582,-85,452,452,11
1701,"4,4-Diethyl-2-methylhexane",CCC(CC)(CC)CC(C)C,20.04287497,3126.933582,-85,452,452,11
1702,"3,4-Diethyl-3-methylhexane",CCC(CC)C(C)(CC)CC,19.93932772,3147.818029,-85,459,459,11
1703,"3,3-Diethyl-4-methylhexane",CCC(C)C(CC)(CC)CC,19.95583725,3187.698803,-85,463,463,11
