,SMILES,VP1,VP2,VP3,VP4,VP5
1127,C1=CC=C(C=C1)OC=O,11.522835997154493,,,,
1129,CCOC(=O)CNC(=O)C,11.522865893518555,,,,
1130,CC1=COC(CC1)(C)C=O,11.522619975619119,,,,
1131,CCC1(CCCCC1)O,11.522763070072468,,,,
1139,CCCCC1CCCC1,11.52273932952809,,,,
1142,CC(C)CCOC(=O)C(C)C,11.522835997154493,,,,
1143,CCCCCOC(=O)C1=CC=CC=C1O,11.522701970382718,,,,
1145,CC(C)COC(=O)C(=O)OCC(C)C,11.522676762677197,,,,
1147,CCC(C)CCCC(C)C,11.52275433677414,,,,
1148,CCCCCCC(CCC)O,11.522611547103773,,,,
1149,CCCCCC(CC)(CC)O,11.52277009694932,,,,
1150,CC1=C(C=CC=C1N)C(C)C,11.522619975619119,,,,
1152,CCC1=CC=CC=C1C(=O)C,11.522670167540753,,,,
1157,CCCC(CCC)(CCC)O,11.52264489744359,,,,
1158,CC(C)CCC#C,11.522747558627616,,,,
1160,C[C@@H]1CCC[C@H](C1)C,11.52262635607941,,,,
1161,CCCOC(=O)C(=C)C,11.522682890153378,,,,
1162,CCCC(C)CC(C)C,11.522613341468016,,,,
1164,CCC(C)CCC(C)C,11.522631688032396,,,,
1166,CCCCCC(C)CC,11.522745890175406,,,,
1167,CCCCC(C)CCC,11.522632692033705,,,,
1171,CC1CCC(C(C1)OC=O)C(C)C,11.522611547103773,,,,
1172,CC1=CC(=C(C=C1)C=C)C,11.522680525006093,,,,
1173,CCCCCCCCCC#C,11.522691220705447,,,,
1194,CCCCC1=CCCC1,11.52854758218757,,,,
1244,CCCCCOC(=O)C=C,11.523433152373794,,,,
1245,COO,11.53193270735621,,,,
1246,CCOO,11.522330111207072,,,,
1248,C1C=CCC2C1CC=C2,11.533514692906724,,,,
1251,CCCC1=CCCC1,11.522350624552613,,,,
1279,CCCCCCCC#C,7.56394706027103,11.58661232079108,,,
1284,CCC(=C)C(=O)O,2.1763966737006335,2.915814357898448,,,
1285,CC1(CC(=O)CC(N1O)(C)C)C,11.522869808845432,,,,
1288,C=CCCCCC=C,11.5227828596471,,,,
1290,CCCCCC1CCCC1,11.52115758908153,,,,
1291,CC(=C)CC(=O)C,11.522591560947085,,,,
1293,CCC(C)CC=C,11.522704471230133,,,,
1294,COCCC(=O)OC,11.52117103211188,,,,
1297,CC/C=C(\C)/CC,11.52270773776853,,,,
1298,CCCCCCC(CCCC)CO,11.52279844116274,,,,
1302,CCC(C(C)C)(C(C)C)O,11.522813755376179,,,,
1304,CCC(C(C)(C)C)O,11.522695456723701,,,,
1306,CCC1=C(C=C(C=C1C)C)C,11.522657850454275,,,,
1309,CCCC(C)(C)CC(C)C,11.52269071683202,,,,
1311,CCCCC(C)CC(C)C,11.522652260516978,,,,
1312,CCC(CC)C=C,11.522751653160666,,,,
1314,CC(C)COC(=O)[C@@H]([C@H](C(=O)OCC(C)C)O)O,11.52257909266161,,,,
1316,C[C@H]1CC(=O)OC1=O,11.522724894697916,,,,
1318,CCCCCC(C)(C)CC,11.522747682793426,,,,
1320,CCCC(C)(C(C)C)O,11.522718297138704,,,,
1321,CC(C)CC1=CC=CC=C1O,11.52281482712601,,,,
1323,CCCOC(=O)[C@H]([C@@H](C(=O)OCCC)O)O,11.522593763932923,,,,
1326,CCC(C)(CC(C)C)O,11.52267284320391,,,,
1327,CC1=CC(=O)C=C(O1)OC,11.522763070072468,,,,
1328,CCC1=CC(=C(C=C1)C(C)(C)C)O,11.522739727372583,,,,
1329,C1C2CC3C1C3C2,11.522628843248828,,,,
1337,CCCCCCC1CCCC1,11.52115758908153,,,,
1339,CCCCCCC1OCCCCO1,11.522700876984961,,,,
1341,C1C(=O)OC(=O)CO1,11.52267284320391,,,,
1343,CC1=C[C@H]2[C@H](C2(C)C)CC1,11.522729798416462,,,,
1345,CC(CO)C=C,11.522676762677197,,,,
1347,C1CC[C@H]2CCC[C@H]2C1,11.522638322962573,,,,
1348,CC1CCC(CC1=O)C(=C)C,11.522698322339606,,,,
1350,CNC1=CC=CC=N1,11.522573225299093,,,,
1353,CC(C)CCCC(C)O,11.522808046202941,,,,
1354,C(COCCOCCOCCOCCO)O,11.52259532123685,,,,
1355,CCCC(C=C)O,11.522708328035307,,,,
1357,CCCCC(C)C=C,11.522673914950454,,,,
1358,CC[C@H](C)[C@@H](C(=O)OCC)NC(=O)C,11.522611797729445,,,,
1365,CC[C@H]1CCCC[C@H]1C,11.52261643001032,,,,
1366,CC[C@H]1CCCC[C@@H]1C,11.52275355361655,,,,
1368,CCC1CCC(CC1)C,11.522597356465175,,,,
1371,CC(C)CCCC=C,11.522613341468016,,,,
1373,CCCCCC1CO1,11.522665541992492,,,,
1374,C#CC1=CC=CC=C1O,11.522563961705444,,,,
1378,C/C=C/C=C/C,11.52260716888812,,,,
1380,C=CC=NO,11.522632692033705,,,,
1381,CCC(=O)CC(=O)C1=CC=CC=C1,11.52269516181077,,,,
1382,COCCCN,11.522613341468016,,,,
1383,CCCCC(C(C)C)(C(C)C)O,11.522745890175406,,,,
1384,CCCCCC(C)(CC)O,11.522745890175406,,,,
1391,CCCCCCC(=O)OCCCC,11.522691782482125,,,,
1393,CCCCCCCC(=O)OC(C)C,11.522715484287492,,,,
