"standard_relation","standard_value","standard_type","pchembl_value","assay_chembl_id","target_chembl_id","canonical_smiles","compound_chembl_id"
"=",1258.93,"Ki",5.9,"CHEMBL1051848","CHEMBL1875","COc1cc(N)c(Cl)cc1C(=O)NCCN2CCNCC2","CHEMBL539212"
"=",251.19,"Ki",6.6,"CHEMBL1051848","CHEMBL1875","CC(C)N1C(=O)C(=Cc2ccccc12)C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4","CHEMBL556235"
"=",794.33,"Ki",6.1,"CHEMBL1051848","CHEMBL1875","CC(C)N1C(=O)C(=Cc2ccccc12)C(=O)NCC3CCNCC3","CHEMBL551535"
"=",3162.28,"Ki",5.5,"CHEMBL1051848","CHEMBL1875","CC(C)N1C(=O)C(=Cc2ccccc12)C(=O)NC3CCNCC3","CHEMBL551614"
"=",234.42,"Ki",6.63,"CHEMBL1063840","CHEMBL214","Clc1cccc(c1)N2CCN(CCCN3C=Nc4ccccc4C3=O)CC2","CHEMBL576586"
"=",50.12,"Ki",7.3,"CHEMBL1063840","CHEMBL214","Clc1cccc(c1)N2CCN(CCCCN3N(C(=O)C=CC3=O)c4ccccc4)CC2","CHEMBL573256"
"=",63.1,"Ki",7.2,"CHEMBL1051848","CHEMBL1875","CC(C)n1nc(C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3)c4ccccc14","CHEMBL550064"
"=",53.7,"Ki",7.27,"CHEMBL1063840","CHEMBL214","COc1ccccc1N2CCN(CCCN3N(C(=O)C=CC3=O)c4ccccc4)CC2","CHEMBL574822"
"=",10.96,"Ki",7.96,"CHEMBL1063840","CHEMBL214","COc1ccccc1N2CCN(CCCCN3N(C(=O)C=CC3=O)c4ccccc4)CC2","CHEMBL574604"
"=",7.943,"Ki",8.1,"CHEMBL1051848","CHEMBL1875","CC(C)n1nc(C(=O)NCC2CCNCC2)c3ccccc13","CHEMBL552796"
"=",50.12,"Ki",7.3,"CHEMBL1063840","CHEMBL214","Clc1cccc(c1)N2CCN(CCCCN3C=Nc4ccccc4C3=O)CC2","CHEMBL574827"
"=",100.0,"Ki",7.0,"CHEMBL1063840","CHEMBL214","COc1ccccc1N2CCN(CCCN3C=Nc4ccccc4C3=O)CC2","CHEMBL583583"
"=",398.11,"Ki",6.4,"CHEMBL1051848","CHEMBL1875","CC(C)n1nc(C(=O)NC2CCNCC2)c3ccccc13","CHEMBL61130"
"=",36.31,"Ki",7.44,"CHEMBL1063840","CHEMBL214","COc1ccccc1N2CCN(CCCCN3C=Nc4ccccc4C3=O)CC2","CHEMBL239700"
"=",3.0,"Ki",8.52,"CHEMBL1041206","CHEMBL3371","CN1CCC(C1)C2=CCc3ccc(NS(=O)(=O)c4c(Cl)nc5sccn45)cc23","CHEMBL575310"
"=",316.23,"Ki",6.5,"CHEMBL1051848","CHEMBL1875","CC(C)N1C(=O)N(C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3)c4ccccc14","CHEMBL551820"
"=",62.0,"Ki",7.21,"CHEMBL1041206","CHEMBL3371","Cl.NC(=N)N\N=C\1/CCc2ccc(NS(=O)(=O)c3ccc4ccccc4c3)cc12","CHEMBL574856"
"=",26.0,"Ki",7.58,"CHEMBL1041206","CHEMBL3371","Cl.CN1CCOc2ccc(cc12)S(=O)(=O)Nc3ccc4CC\C(=N/NC(=N)N)\c4c3","CHEMBL573981"
"=",416.87,"Ki",6.38,"CHEMBL1063840","CHEMBL214","Clc1cccc(c1)N2CCN(CCCN3N(C(=O)c4ccccc4C3=O)c5ccccc5)CC2","CHEMBL573237"
"=",398.11,"Ki",6.4,"CHEMBL1063840","CHEMBL214","Clc1cccc(c1)N2CCN(CCCCN3N(C(=O)c4ccccc4C3=O)c5ccccc5)CC2","CHEMBL574828"
"=",30.2,"Ki",7.52,"CHEMBL1063840","CHEMBL214","COc1ccccc1N2CCN(CCCN3N(C(=O)c4ccccc4C3=O)c5ccccc5)CC2","CHEMBL573482"
"=",42.66,"Ki",7.37,"CHEMBL1063840","CHEMBL214","COc1ccccc1N2CCN(CCCCN3N(C(=O)c4ccccc4C3=O)c5ccccc5)CC2","CHEMBL573264"
"=",70.0,"Ki",7.16,"CHEMBL1041206","CHEMBL3371","CN1CCOc2ccc(cc12)S(=O)(=O)Nc3ccc4CC\C(=N\NC5=NCCN5)\c4c3","CHEMBL576967"
"=",1.2,"Ki",8.92,"CHEMBL1041206","CHEMBL3371","Cl.NC(=N)N\N=C\1/CCc2ccc(NS(=O)(=O)c3c(Cl)nc4sccn34)cc12","CHEMBL577570"
"=",1.6,"Ki",8.8,"CHEMBL1041206","CHEMBL3371","Cl.CC1Cc2ccc(NS(=O)(=O)c3c(Cl)nc4sccn34)cc2/C/1=N/NC(=N)N","CHEMBL573521"
"=",204.17,"Ki",6.69,"CHEMBL1063840","CHEMBL214","Clc1cccc(c1)N2CCN(CCCN3N(C(=O)C=CC3=O)c4ccccc4)CC2","CHEMBL575032"
"=",2.6,"Ki",8.59,"CHEMBL1041206","CHEMBL3371","Cl.NC(=N)N\N=C\1/CCc2cc(NS(=O)(=O)c3c(Cl)nc4sccn34)ccc12","CHEMBL578631"
"=",39.81,"Ki",7.4,"CHEMBL1051848","CHEMBL1875","CC(C)N1C(=O)N(C(=O)NCC2CCNCC2)c3ccccc13","CHEMBL560940"
"=",5.2,"Ki",8.28,"CHEMBL1041206","CHEMBL3371","Cl.CC1(C)C\C(=N/NC(=N)N)\c2cc(NS(=O)(=O)c3c(Cl)nc4sccn34)ccc12","CHEMBL575270"
"=",4.1,"Ki",8.39,"CHEMBL1041206","CHEMBL3371","Cl.CN(c1ccc2CC\C(=N/NC(=N)N)\c2c1)S(=O)(=O)c3c(Cl)nc4sccn34","CHEMBL574625"
"=",1584.89,"Ki",5.8,"CHEMBL1051848","CHEMBL1875","CC(C)N1C(=O)N(C(=O)NC2CCNCC2)c3ccccc13","CHEMBL553658"
"=",2.2,"Ki",8.66,"CHEMBL1041206","CHEMBL3371","Clc1nc2sccn2c1S(=O)(=O)Nc3ccc4CC\C(=N/NC5=NCCN5)\c4c3","CHEMBL574403"
"=",125.89,"Ki",6.9,"CHEMBL1051848","CHEMBL1875","CC(C)N1C(=O)N(C(=O)NCCN2CCNCC2)c3ccccc13","CHEMBL550459"
"=",4.0,"Ki",8.4,"CHEMBL1047377","CHEMBL214","Fc1ccc(N2CCS\C(=C/c3ccccc3N4CCNCC4)\C2=O)c(F)c1","CHEMBL575699"
"=",5.0,"Ki",8.3,"CHEMBL1047377","CHEMBL214","Clc1cccc(Oc2ccccc2C3CCNCC3)c1","CHEMBL575290"
"=",3162.28,"Ki",5.5,"CHEMBL1051848","CHEMBL1875","COc1ccc2[nH]cc(C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4)c2c1","CHEMBL551743"
"=",8.0,"Ki",8.1,"CHEMBL1047377","CHEMBL214","Fc1ccc(Oc2ccccc2N3CCNCC3)cc1","CHEMBL573972"
"=",2.0,"Ki",8.7,"CHEMBL1041217","CHEMBL3371","NCCc1cn(c2ccccc12)S(=O)(=O)c3c(Cl)nc4sccn34","CHEMBL392760"
"=",1.0,"Ki",9.0,"CHEMBL1041217","CHEMBL3371","C\C(=N/NC(=N)N)\c1c[nH]c2ccc(NS(=O)(=O)c3ccccc3)cc12","CHEMBL573982"
"=",1.0,"Ki",9.0,"CHEMBL1041217","CHEMBL3371","COc1ccc(cc1)S(=O)(=O)Nc2ccc3[nH]cc(\C(=N\NC(=N)N)\C)c3c2","CHEMBL578023"
"<=",8.0,"Ki",,"CHEMBL1041217","CHEMBL3371","C\C(=N/NC(=N)N)\c1cn(c2ccccc12)S(=O)(=O)c3ccc(N)cc3","CHEMBL575304"
"=",9.0,"Ki",8.05,"CHEMBL1047377","CHEMBL214","Clc1ccc(cc1Cl)N2CCSC(Cc3ccccc3N4CCNCC4)C2=O","CHEMBL574126"
"=",9.0,"Ki",8.05,"CHEMBL1047377","CHEMBL214","Fc1cccc(Oc2ccccc2N3CCNCC3)c1","CHEMBL573973"
"<=",8.0,"Ki",,"CHEMBL1041217","CHEMBL3371","C\C(=N/NC(=N)N)\c1cn(c2ccccc12)S(=O)(=O)c3c(Cl)nc4sccn34","CHEMBL574404"
"=",11.0,"Ki",7.96,"CHEMBL1047377","CHEMBL214","Fc1cccc(Oc2ccccc2C3CCNCC3)c1","CHEMBL583752"
"=",3981.07,"Ki",5.4,"CHEMBL1051848","CHEMBL1875","COc1ccc2[nH]cc(C(=O)NCC3CCNCC3)c2c1","CHEMBL570780"
"=",20.0,"Ki",7.7,"CHEMBL1047377","CHEMBL214","Fc1cccc(C2CCNCC2)c1Oc3ccccc3","CHEMBL583751"
"=",21.0,"Ki",7.68,"CHEMBL1047377","CHEMBL214","Fc1cccc(Oc2cccc(F)c2C3CCNCC3)c1","CHEMBL574004"
"=",3162.28,"Ki",5.5,"CHEMBL1051848","CHEMBL1875","COc1ccc2[nH]cc(C(=O)NC3CCNCC3)c2c1","CHEMBL558757"
"=",28.0,"Ki",7.55,"CHEMBL1047377","CHEMBL214","C(Oc1ccccc1N2CCNCC2)c3ccccc3","CHEMBL582928"
"=",316.23,"Ki",6.5,"CHEMBL1051848","CHEMBL1875","COc1ccc2[nH]cc(C(=O)NCCN3CCNCC3)c2c1","CHEMBL553688"
"=",31.0,"Ki",7.51,"CHEMBL1047377","CHEMBL214","Fc1ccccc1COc2ccccc2N3CCNCC3","CHEMBL575899"
"=",47.0,"Ki",7.33,"CHEMBL1047377","CHEMBL214","Fc1ccccc1COc2ccccc2C3CCNCC3","CHEMBL573897"
"=",1000.0,"Ki",6.0,"CHEMBL1051848","CHEMBL1875","CCN1CCC(CC1)NC(=O)c2cc(Cl)c(N)cc2OC","CHEMBL570074"
"=",57.0,"Ki",7.24,"CHEMBL1047377","CHEMBL214","Cc1ccc(F)c(Oc2ccccc2C3CCNCC3)c1","CHEMBL583332"
"=",100.0,"Ki",7.0,"CHEMBL1051848","CHEMBL1875","CCCCCN1CCC(CC1)NC(=O)c2cc(Cl)c(N)cc2OC","CHEMBL557053"
"=",63.0,"Ki",7.2,"CHEMBL1047377","CHEMBL214","C1CC(CCN1)c2ccccc2Oc3ccccc3","CHEMBL575077"
"=",77.0,"Ki",7.11,"CHEMBL1047377","CHEMBL214","Fc1ccc(COc2ccccc2C3CCNCC3)cc1","CHEMBL573531"
"=",79.43,"Ki",7.1,"CHEMBL1051848","CHEMBL1875","CCCCCCCCN1CCC(CC1)NC(=O)c2cc(Cl)c(N)cc2OC","CHEMBL551940"
"=",101.0,"Ki",7.0,"CHEMBL1047377","CHEMBL214","Fc1cccc(OCc2ccccc2N3CCNCC3)c1F","CHEMBL575714"
"=",116.0,"Ki",6.94,"CHEMBL1047377","CHEMBL214","Fc1cccc(OCc2ccccc2N3CCNCC3)c1","CHEMBL575700"
"=",309.03,"Ki",6.51,"CHEMBL1059281","CHEMBL224","Fc1ccc(cc1)C(=O)C2CCN(CC3CC(=O)c4cncnc4C3)CC2","CHEMBL575760"
"=",23.44,"Ki",7.63,"CHEMBL1059281","CHEMBL224","Fc1ccc2c(noc2c1)C3CCN(CC4CC(=O)c5cncnc5C4)CC3","CHEMBL572708"
"=",125.89,"Ki",6.9,"CHEMBL1051848","CHEMBL1875","CCN1[C@@H]2CC[C@H]1C[C@H](C2)NC(=O)C3=Cc4ccccc4N(C(C)C)C3=O","CHEMBL552218"
"=",102.33,"Ki",6.99,"CHEMBL1059281","CHEMBL224","CSc1ncc2C(=O)CC(CN3CCC(CC3)C(=O)c4ccc(F)cc4)Cc2n1","CHEMBL572721"
"=",4.571,"Ki",8.34,"CHEMBL1059281","CHEMBL224","CSc1ncc2C(=O)CC(CN3CCC(CC3)c4noc5cc(F)ccc45)Cc2n1","CHEMBL566508"
"=",117.0,"Ki",6.93,"CHEMBL1047377","CHEMBL214","Fc1ccc(Oc2ccccc2C3CCNCC3)cc1","CHEMBL584173"
"=",121.0,"Ki",6.92,"CHEMBL1047377","CHEMBL214","C(Oc1ccccc1C2CCNCC2)c3ccccc3","CHEMBL573769"
"=",128.0,"Ki",6.89,"CHEMBL1047377","CHEMBL214","Fc1cccc(Oc2ccccc2)c1C3CCNCC3","CHEMBL574428"
"=",6.457,"Ki",8.19,"CHEMBL1059281","CHEMBL224","CNc1ncc2C(=O)CC(CN3CCC(CC3)C(=O)c4ccc(F)cc4)Cc2n1","CHEMBL583772"
"=",2.399,"Ki",8.62,"CHEMBL1059281","CHEMBL224","CNc1ncc2C(=O)CC(CN3CCC(CC3)c4noc5cc(F)ccc45)Cc2n1","CHEMBL576756"
"=",128.0,"Ki",6.89,"CHEMBL1047377","CHEMBL214","C1CN(CCN1)c2ccccc2Oc3ccccc3","CHEMBL573532"
"=",63.1,"Ki",7.2,"CHEMBL1051848","CHEMBL1875","CCCCCN1[C@@H]2CC[C@H]1C[C@H](C2)NC(=O)C3=Cc4ccccc4N(C(C)C)C3=O","CHEMBL551941"
"=",156.0,"Ki",6.81,"CHEMBL1047377","CHEMBL214","Fc1ccc(Oc2cccc(F)c2C3CCNCC3)cc1","CHEMBL574231"
"=",189.0,"Ki",6.72,"CHEMBL1047377","CHEMBL214","C(Oc1ccccc1)c2ccccc2N3CCNCC3","CHEMBL574127"
"=",630.96,"Ki",6.2,"CHEMBL1059281","CHEMBL224","Fc1ccc(cc1)C(=O)C2CCN(CC3CC(=O)c4cnc(nc4C3)c5ccccc5)CC2","CHEMBL572942"
"=",125.89,"Ki",6.9,"CHEMBL1059281","CHEMBL224","Fc1ccc2c(noc2c1)C3CCN(CC4CC(=O)c5cnc(nc5C4)c6ccccc6)CC3","CHEMBL575788"
"=",165.96,"Ki",6.78,"CHEMBL1059281","CHEMBL224","OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3","CHEMBL54"
"=",364.0,"Ki",6.44,"CHEMBL1047377","CHEMBL214","Fc1cccc(OCc2ccccc2)c1C3CCNCC3","CHEMBL575930"
"=",9.12,"Ki",8.04,"CHEMBL1059281","CHEMBL224","CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24","CHEMBL42"
"=",466.0,"Ki",6.33,"CHEMBL1047377","CHEMBL214","C(Oc1ccccc1C2CC2)c3ccccc3N4CCNCC4","CHEMBL575289"
"=",63.1,"Ki",7.2,"CHEMBL1051848","CHEMBL1875","CCCCCCCCN1[C@@H]2CC[C@H]1C[C@H](C2)NC(=O)C3=Cc4ccccc4N(C(C)C)C3=O","CHEMBL562400"
"=",606.0,"Ki",6.22,"CHEMBL1047377","CHEMBL214","Fc1cccc(C2CCNCC2)c1OCc3ccccc3","CHEMBL583750"
"=",1160.0,"Ki",5.94,"CHEMBL1047377","CHEMBL214","Fc1ccc(OCc2ccc(Cl)c(Cl)c2)c(c1)C3CCNCC3","CHEMBL573971"
"=",0.5012,"Ki",9.3,"CHEMBL1059281","CHEMBL224","CC1=C(CCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)N5CCCCC5=N1","CHEMBL85"
"=",501.19,"Ki",6.3,"CHEMBL1059285","CHEMBL225","Fc1ccc2c(noc2c1)C3CCN(CC4CC(=O)c5cncnc5C4)CC3","CHEMBL572708"
">",10000.0,"Ki",,"CHEMBL1059285","CHEMBL225","CSc1ncc2C(=O)CC(CN3CCC(CC3)c4noc5cc(F)ccc45)Cc2n1","CHEMBL566508"
">",10000.0,"Ki",,"CHEMBL1059285","CHEMBL225","CNc1ncc2C(=O)CC(CN3CCC(CC3)c4noc5cc(F)ccc45)Cc2n1","CHEMBL576756"
